note,subject,link
Coordination Compounds in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/inorganic-chemistry/complexes
Electrochemistry in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/electrochemistry
Electromagnetic Induction in Physics. Explains key concepts and applications.,Physics,https://www.physicsclassroom.com/Physics-Video-Tutorial/Static-Electricity/Charging-by-Induction/Video
Polymers in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/biology/chemistry-of-life/polymers
Lewis Structures in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-bonds/lewis-structures/v/lewis-structures-overview
Thermodynamics in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/biology/energy-and-enzymes/the-laws-of-thermodynamics/v/introduction-to-entropy
Structure of Atom in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/atomic-structure-and-properties
Relations and Functions in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/prealgebra/introduction-to-pre-algebra/relations-and-functions/v/relations-and-functions-overview
Probability Distributions in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/statistics-probability/probability-distributions
Velocity in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/one-dimensional-motion/average-velocity/v/what-is-velocity
Mathematical Reasoning in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/proofs-and-logic
Velocity in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/one-dimensional-motion/average-velocity/v/what-is-velocity
Thermal Expansion in Physics. Explains key concepts and applications.,Physics,https://courses.lumenlearning.com/atd-austincc-physics1/
Surface Chemistry in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/thermodynamics-and-equilibrium/adsorption/v/adsorption
Coordination Compounds in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/inorganic-chemistry/complexes
Matrices and Determinants in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/linear-algebra/matrices-and-determinants
Chemical Bonding and Molecular Structure in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-bonds
Electric Fields in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/electric-charge-electric-force-and-voltage/electric-field/v/electrostatics-part-2
Chemical Kinetics in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-kinetics
Biomolecules in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/biology/chemistry-of-life/biomolecules
Equations of Motion in Physics. Explains key concepts and applications.,Physics,https://www.physicsclassroom.com/class/one-dimensional-motion/u2l1c1.cfm
Probability in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/statistics-probability/probability-basics
Probability Distributions in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/statistics-probability/probability-distributions
Complex Numbers in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/complex-numbers
Solutions in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/solutions
Magnetic Effects of Current and Magnetism in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/magnetic-forces-and-magnetic-fields
Chemical Bonding and Molecular Structure in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-bonds
Conic Sections in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/geometry/conic-sections
Differential Equations in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/differential-equations
Relations and Functions in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/prealgebra/introduction-to-pre-algebra/relations-and-functions/v/relations-and-functions-overview
Linear Programming in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/linear-algebra/linear-programming
Three-Dimensional Geometry in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/geometry/3d-geometry
Derivatives in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/ap-calculus-ab/derivatives
Linear Programming in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/linear-algebra/linear-programming
Calculus in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/ap-calculus-ab
Circles in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/geometry/circles/circles-basics/v/introduction-to-circles
Electrochemistry in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/electrochemistry
Differential Equations in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/differential-equations
Heat Transfer in Physics. Explains key concepts and applications.,Physics,https://ocw.mit.edu/courses/2-051-introduction-to-heat-transfer-fall-2015/
Work and Heat in Physics. Explains key concepts and applications.,Physics,https://www.physicsclassroom.com/class/energy
Hybridization in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-bonds/hybridization/v/hybridization-overview
Laws of Thermodynamics in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/biology/energy-and-enzymes/the-laws-of-thermodynamics/v/introduction-to-entropy
Kinematics in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/ap-college-physics-1/xf557a762645cccc5:kinematics-and-introduction-to-dynamics
Current Electricity in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/electric-circuits/current/v/what-is-current
Kinematics in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/ap-college-physics-1/xf557a762645cccc5:kinematics-and-introduction-to-dynamics
Lewis Structures in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-bonds/lewis-structures/v/lewis-structures-overview
D-Block and F-Block Elements in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/the-periodic-table/d-and-f-block-elements
Chemical Bonding and Molecular Structure in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-bonds
Mechanical Properties of Solids in Physics. Explains key concepts and applications.,Physics,https://www.thoughtco.com/mechanical-properties-of-solids-1267603
Vectors and 3D Geometry in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/linear-algebra/vectors-and-matrices/linear-combinations-and-span/v/introduction-to-vectors
Probability in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/statistics-probability/probability-basics
Chemical Kinetics in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-kinetics
Sets and Functions in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/prealgebra/introduction-to-pre-algebra/sets/sets-intro/v/introduction-to-sets
Equilibrium in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-equilibrium
VSEPR Theory in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-bonds/vsepr-theory/v/vsepr-theory-and-molecular-shape
Coordinate Geometry in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/geometry/analytic-geometry-cartesian-coordinates
"Work, Energy, and Power in Physics. Explains key concepts and applications.",Physics,https://www.physicsclassroom.com/class/energy
Laws of Thermodynamics in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/biology/energy-and-enzymes/the-laws-of-thermodynamics/v/introduction-to-entropy
Coordinate Geometry in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/geometry/analytic-geometry-cartesian-coordinates
Mechanical Properties of Solids in Physics. Explains key concepts and applications.,Physics,https://www.thoughtco.com/mechanical-properties-of-solids-1267603
Applications of Derivatives in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/ap-calculus-ab/applications-of-derivatives
Chemical Kinetics in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-kinetics
Coordination Compounds in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/inorganic-chemistry/complexes
Linear Programming in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/linear-algebra/linear-programming
Electric Fields in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/electric-charge-electric-force-and-voltage/electric-field/v/electrostatics-part-2
Solutions in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/solutions
Magnetic Fields in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/magnetic-forces-and-magnetic-fields
Thermodynamics in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/biology/energy-and-enzymes/the-laws-of-thermodynamics/v/introduction-to-entropy
Statistics in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/statistics-probability
Solutions in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/solutions
Laws of Thermodynamics in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/biology/energy-and-enzymes/the-laws-of-thermodynamics/v/introduction-to-entropy
Thermodynamics in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/biology/energy-and-enzymes/the-laws-of-thermodynamics/v/introduction-to-entropy
Current Electricity in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/electric-circuits/current/v/what-is-current
Polymers in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/biology/chemistry-of-life/polymers
Algebra in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/algebra
Integrals in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/ap-calculus-ab/integrals
Probability Distributions in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/statistics-probability/probability-distributions
Derivatives in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/ap-calculus-ab/derivatives
Limits in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/ap-calculus-ab/limits-and-continuity/limits-intro/v/what-is-a-limit
Vectors and 3D Geometry in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/linear-algebra/vectors-and-matrices/linear-combinations-and-span/v/introduction-to-vectors
Sets and Functions in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/prealgebra/introduction-to-pre-algebra/sets/sets-intro/v/introduction-to-sets
Magnetic Fields in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/magnetic-forces-and-magnetic-fields
Optics in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/light-and-optics
Solutions in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/solutions
Differential Equations in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/differential-equations
Chemical Kinetics in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-kinetics
Statistics in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/statistics-probability
Electric Fields in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/electric-charge-electric-force-and-voltage/electric-field/v/electrostatics-part-2
Derivatives in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/ap-calculus-ab/derivatives
Chemical Kinetics in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-kinetics
Thermal Expansion in Physics. Explains key concepts and applications.,Physics,https://courses.lumenlearning.com/atd-austincc-physics1/
Complex Numbers in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/complex-numbers
Vectors and 3D Geometry in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/linear-algebra/vectors-and-matrices/linear-combinations-and-span/v/introduction-to-vectors
Coordinate Geometry in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/geometry/analytic-geometry-cartesian-coordinates
Mechanical Properties of Solids in Physics. Explains key concepts and applications.,Physics,https://www.thoughtco.com/mechanical-properties-of-solids-1267603
Thermal Expansion in Physics. Explains key concepts and applications.,Physics,https://courses.lumenlearning.com/atd-austincc-physics1/
D-Block and F-Block Elements in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/the-periodic-table/d-and-f-block-elements
Algebra in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/algebra
Statistics in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/statistics-probability
Kinematics in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/ap-college-physics-1/xf557a762645cccc5:kinematics-and-introduction-to-dynamics
Structure of Atom in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/atomic-structure-and-properties
Velocity in Physics. Explains key concepts and applications.,Physics,https://www.khanacademy.org/science/physics/one-dimensional-motion/average-velocity/v/what-is-velocity
Relations and Functions in Mathematics. Explains key concepts and applications.,Mathematics,https://www.khanacademy.org/math/prealgebra/introduction-to-pre-algebra/relations-and-functions/v/relations-and-functions-overview
Thermodynamics in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/biology/energy-and-enzymes/the-laws-of-thermodynamics/v/introduction-to-entropy
Lewis Structures in Chemistry. Explains key concepts and applications.,Chemistry,https://www.khanacademy.org/science/chemistry/chemical-bonds/lewis-structures/v/lewis-structures-overview
